月平均值查詢-花蓮
資料時間：2020年
"測項","日期","平均值","單位","備註"
CO,2020/01,0.36,ppm,
CO,2020/02,0.29,ppm,
CO,2020/03,0.32,ppm,
CO,2020/04,0.3,ppm,
CO,2020/05,0.25,ppm,
CO,2020/06,0.16,ppm,
CO,2020/07,0.12,ppm,
CO,2020/08,0.12,ppm,
CO,2020/09,0.21,ppm,
CO,2020/10,0.24,ppm,
CO,2020/11,0.24,ppm,
CO,2020/12,0.29,ppm,
NO,2020/01,1.7,ppb,
NO,2020/02,1.39,ppb,
NO,2020/03,1.68,ppb,
NO,2020/04,1.44,ppb,
NO,2020/05,1.9,ppb,
NO,2020/06,1.47,ppb,
NO,2020/07,1.65,ppb,
NO,2020/08,1.78,ppb,
NO,2020/09,1.71,ppb,
NO,2020/10,1.64,ppb,
NO,2020/11,1.47,ppb,
NO,2020/12,2,ppb,
NO2,2020/01,6.75,ppb,
NO2,2020/02,6.41,ppb,
NO2,2020/03,6.11,ppb,
NO2,2020/04,6.15,ppb,
NO2,2020/05,5.5,ppb,
NO2,2020/06,3.45,ppb,
NO2,2020/07,3.56,ppb,
NO2,2020/08,3.32,ppb,
NO2,2020/09,4.31,ppb,
NO2,2020/10,6.35,ppb,
NO2,2020/11,5.43,ppb,
NO2,2020/12,6.78,ppb,
NOx,2020/01,8.43,ppb,
NOx,2020/02,7.79,ppb,
NOx,2020/03,7.79,ppb,
NOx,2020/04,7.59,ppb,
NOx,2020/05,7.38,ppb,
NOx,2020/06,4.91,ppb,
NOx,2020/07,5.21,ppb,
NOx,2020/08,5.08,ppb,
NOx,2020/09,6,ppb,
NOx,2020/10,7.98,ppb,
NOx,2020/11,6.9,ppb,
NOx,2020/12,8.78,ppb,
O3,2020/01,29.2,ppb,
O3,2020/02,30.08,ppb,
O3,2020/03,34.59,ppb,
O3,2020/04,40.74,ppb,
O3,2020/05,26.77,ppb,
O3,2020/06,22.77,ppb,
O3,2020/07,18,ppb,
O3,2020/08,17.25,ppb,
O3,2020/09,28.26,ppb,
O3,2020/10,31.12,ppb,
O3,2020/11,30.3,ppb,
O3,2020/12,28.97,ppb,
PM10,2020/01,18.8,μg/m3,
PM10,2020/02,19.6,μg/m3,
PM10,2020/03,23.4,μg/m3,
PM10,2020/04,23.1,μg/m3,
PM10,2020/05,19.2,μg/m3,
PM10,2020/06,19.7,μg/m3,
PM10,2020/07,16.5,μg/m3,
PM10,2020/08,19.8,μg/m3,
PM10,2020/09,21.1,μg/m3,
PM10,2020/10,23.7,μg/m3,
PM10,2020/11,21,μg/m3,
PM10,2020/12,14.4,μg/m3,
PM2.5,2020/01,9.3,μg/m3,
PM2.5,2020/02,9.3,μg/m3,
PM2.5,2020/03,10.4,μg/m3,
PM2.5,2020/04,10.8,μg/m3,
PM2.5,2020/05,7.9,μg/m3,
PM2.5,2020/06,6.5,μg/m3,
PM2.5,2020/07,5.5,μg/m3,
PM2.5,2020/08,8.3,μg/m3,
PM2.5,2020/09,8.4,μg/m3,
PM2.5,2020/10,9.3,μg/m3,
PM2.5,2020/11,8.2,μg/m3,
PM2.5,2020/12,6.5,μg/m3,
SO2,2020/01,1.15,ppb,
SO2,2020/02,1.18,ppb,
SO2,2020/03,1.2,ppb,
SO2,2020/04,1.46,ppb,
SO2,2020/05,1.31,ppb,
SO2,2020/06,1.14,ppb,
SO2,2020/07,1.18,ppb,
SO2,2020/08,1.17,ppb,
SO2,2020/09,1.26,ppb,
SO2,2020/10,1.19,ppb,
SO2,2020/11,1.04,ppb,
SO2,2020/12,1.23,ppb,
